                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8816,                 3.6996,                 1.9719,                0.67942,                 0.7069,                0.74485,                0.40682,                 1.5706,                 2.3189,                 1.8429,                0.00056,                0.00056,                0.00056
                      2,                 1.6903,                 1.9087,                 1.7412,                0.18806,                0.18966,                0.09968,                0.03458,                 2.3976,                 8.3983,                 3.6884,              0.0011287,              0.0011287,              0.0011287
                      3,                 1.7656,                 1.7671,                 1.8519,                0.06548,                0.18966,                0.03674,                0.01121,                  2.568,                 78.558,                 5.4855,              0.0016859,              0.0016859,              0.0016859
                      4,                 1.8625,                 1.8287,                 1.8808,                0.01341,                0.41379,                0.01102,                0.00262,                 3.0574,                 130.84,                 4.8979,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.772,                 1.6683,                 1.7768,                0.16831,                0.20761,                0.13009,                0.03358,                 2.8878,                 6.5963,                 2.9026,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7889,                 1.6544,                 1.8184,                0.37624,                0.15517,                0.13266,                0.05185,                 2.8176,                 4.1422,                 2.8944,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7712,                 1.5724,                 1.7766,                0.46437,                0.56053,                0.47044,                0.17554,                 2.2477,                 2.5064,                 2.2155,               0.001901,               0.001901,               0.001901
                      8,                 1.7858,                 1.5471,                 1.8102,                 0.3679,                0.28101,                0.20042,                0.08006,                  2.221,                 2.9393,                 2.2366,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6882,                 1.4419,                 1.7083,                0.84039,                0.76724,                0.86521,                0.42356,                 1.6036,                 1.8992,                 1.7484,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6535,                 1.4404,                 1.6836,                0.75824,                0.67241,                0.77124,                0.40633,                 1.6241,                 1.7974,                  1.755,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6572,                 1.3499,                  1.698,                0.67716,                0.59483,                0.62978,                0.28674,                 2.0287,                  2.174,                 1.9569,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6513,                 1.3905,                 1.6553,                 0.7462,                 0.7931,                0.82418,                0.41383,                  1.641,                 1.3127,                 1.6395,               0.001802,               0.001802,               0.001802
                     13,                 1.6448,                 1.3441,                 1.6775,                0.85719,                0.80172,                0.84725,                0.37021,                 1.8722,                 1.2864,                 1.9157,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6188,                 1.2805,                   1.67,                0.82184,                0.81897,                0.90527,                0.49281,                 1.5181,                 1.0581,                 1.5602,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.585,                  1.223,                  1.623,                 0.7246,                0.81034,                0.86563,                0.47673,                  1.486,                 1.0549,                 1.5492,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5515,                 1.2728,                 1.5674,                0.85546,                0.82759,                0.89902,                0.45466,                 1.6518,                 1.1348,                 1.7187,              0.0017228,              0.0017228,              0.0017228
